,taxon_oid,portal_name
13521,3300049445,BES448metagenome_3_FD
13522,3300033515,IMG_3300033515
13523,3300006010,4ButaG_3_FD
13524,3300037231,713CPON21DmetaG_FD
13525,3300048889,CIRsoimetagenome_FD
13526,3300032276,Phiworburrow1_MG_FD
13527,3300046384,DNA053TGU_MG_FD
13528,3300039714,IMG_3300039714
13529,3300027969,S_130626_EF_Meta_FD
13530,3300066295,IMG_3300066295
13531,3300001428,NGESurdeep092012_8_FD
13532,3300025419,June2015DPH_11_1_2_FD
13533,3300005960,KNS7Surf_AmetaT_FD
13534,3300043049,Nitinse5SP15_MG_FD
13535,3300038659,IMG_3300038659
13536,3300040402,IMG_3300040402
13537,3300030056,I_Palsa_E3_3_FD
13538,3300041431,Aug2018WEW_P21_D_2_FD
13539,3300002274,LakMenEpi12Oct12_FD
13540,3300015599,IMG_3300015599
13541,3300047451,NewNP2_109_FD
13542,3300042929,IMG_3300042929
13543,3300024046,1B50Ametagenome_FD
13544,3300044631,TYMME2rr0916_FD
13545,3300053773,RVTome_68_FD
13546,3300006619,NGEPer4B_FD
13547,3300003874,IMG_3300003874
13548,3300020237,IMG_3300020237
13549,3300001373,IMG_3300001373
13550,3300040514,IMG_3300040514
